                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4068,                 3.1985,                 3.0589,                0.77935,                0.66246,                0.73994,                0.34472,                 1.7201,                 1.5126,                  2.165,             0.00037007,             0.00037007,             0.00037007
                      2,                 1.5354,                 1.7205,                 2.0568,                0.94385,                0.82919,                0.90008,                 0.5454,                  1.254,                0.98475,                 1.6612,             0.00069154,             0.00069154,             0.00069154
                      3,                 1.2969,                 1.3699,                 1.7819,                0.95594,                0.87883,                0.93234,                0.62917,                 1.0945,                0.73701,                 1.4663,             0.00096412,             0.00096412,             0.00096412
                      4,                 1.1425,                 1.1681,                 1.6203,                0.97194,                0.89218,                 0.9458,                0.68094,                0.97577,                0.60843,                 1.3354,             0.00089102,             0.00089102,             0.00089102
                      5,                 1.0424,                 1.0557,                 1.5072,                0.97809,                0.90612,                0.95614,                0.72787,                0.83656,                0.53895,                 1.2365,             0.00089102,             0.00089102,             0.00089102
                      6,                0.79599,                0.67648,                 1.3042,                0.98734,                0.92221,                0.96453,                 0.7551,                0.77744,                0.49063,                 1.1685,              0.0008177,              0.0008177,              0.0008177
                      7,                 0.7289,                0.61237,                  1.239,                0.98423,                0.93072,                0.96922,                0.79772,                0.64473,                0.43142,                 1.0546,             0.00074437,             0.00074437,             0.00074437
                      8,                0.67268,                0.56105,                 1.1803,                0.98833,                0.92872,                0.97351,                 0.8217,                0.60385,                0.40456,                 1.0292,             0.00067104,             0.00067104,             0.00067104
                      9,                 0.6349,                 0.5297,                 1.1446,                0.98599,                 0.9462,                0.97641,                0.84417,                 0.5496,                0.36888,                0.98385,             0.00059772,             0.00059772,             0.00059772
                     10,                 0.5967,                0.48875,                 1.1075,                0.98207,                0.95155,                0.97807,                0.85853,                0.51853,                0.35466,                0.96324,             0.00052439,             0.00052439,             0.00052439
                     11,                0.56262,                0.46695,                 1.0805,                0.98976,                0.95011,                0.97985,                0.88261,                0.46285,                 0.3261,                0.93577,             0.00045107,             0.00045107,             0.00045107
                     12,                0.53285,                 0.4386,                 1.0508,                0.99175,                0.95227,                0.98201,                0.87595,                0.46329,                 0.3162,                0.93386,             0.00037774,             0.00037774,             0.00037774
                     13,                0.50375,                0.41457,                 1.0302,                0.98873,                0.95824,                0.98286,                  0.883,                0.44712,                0.29823,                0.91637,             0.00030441,             0.00030441,             0.00030441
                     14,                0.47511,                0.38936,                 1.0091,                0.99424,                0.95559,                0.98332,                0.88733,                0.43075,                0.28675,                0.90542,             0.00023109,             0.00023109,             0.00023109
                     15,                0.44807,                0.37123,                 0.9883,                0.99181,                 0.9636,                0.98323,                0.90215,                0.39212,                 0.2718,                0.88813,             0.00015776,             0.00015776,             0.00015776
